Position,PLAYER,Matches,Runs,Avg,6s
1,Chris Gayle,142,4965,39.72,357
2,AB de Villiers,182,5125,40.03,250
3,Rohit Sharma,212,5593,31.24,227
4,MS Dhoni,218,4728,39.4,218
5,Kieron Pollard,177,3255,30.13,214
6,Virat Kohli,205,6240,37.59,210
7,Suresh Raina,205,5528,32.51,203
8,David Warner,150,5449,41.59,201
9,Shane Watson,145,3874,30.99,190
10,Robin Uthappa,191,4628,27.71,163
11,Yusuf Pathan,174,3204,29.12,158
12,Yuvraj Singh,132,2750,24.77,149
13,Ambati Rayudu,173,3915,29.65,149
14,Andre Russell,84,1700,29.31,143
15,KL Rahul,94,3273,47.43,134
16,Sanju Samson,121,3068,29.21,132
17,Brendon McCullum,109,2880,27.69,130
18,Shikhar Dhawan,189,5698,34.95,120
19,Dwayne Smith,91,2385,28.39,117
20,Glenn Maxwell,95,1952,24.7,112
21,Rishabh Pant,81,2431,35.23,111
22,Dinesh Karthik,210,4027,26.14,111
23,Virender Sehwag,104,2728,27.55,106
24,Manish Pandey,153,3491,30.09,101
25,Hardik Pandya,91,1466,27.66,97
26,Faf du Plessis,98,2848,34.73,93
27,Adam Gilchrist,80,2069,27.22,92
28,Murali Vijay,106,2619,25.93,91
29,Jos Buttler,65,1968,35.14,90
30,David Miller,89,1974,32.9,90
31,Nitish Rana,74,1784,29.24,87
32,Shreyas Iyer,84,2326,31.86,87
33,Mayank Agarwal,100,2131,23.41,85
34,Ravindra Jadeja,198,2386,27.11,85
35,Quinton de Kock,77,2256,31.33,83
36,JP Duminy,83,2029,39.78,79
37,Naman Ojha,113,1554,20.72,79
38,Shaun Marsh,71,2477,39.95,78
39,Ajinkya Rahane,151,3941,31.52,76
40,Aaron Finch,87,2005,25.7,75
41,Ishan Kishan,60,1368,27.36,70
42,Wriddhiman Saha,132,2108,24.8,69
43,Chris Lynn,42,1329,34.07,66
44,Suryakumar Yadav,114,2259,28.23,65
45,Dwayne Bravo,149,1537,22.94,65
46,Eoin Morgan,80,1396,23.26,64
47,David Hussey,64,1322,26.97,60
48,Steve Smith,103,2485,34.51,60
