Player Name,Team,Roll,Matches,Runs & Wkts
Virat Kohli,RCB,Batsman,207,"6,283"
Shikhar Dhawan,DC,Batsman,192,"5,784"
Rohit Sharma,MI,Batsman,213,"5,611"
Suresh Raina,CSK,Batsman,205,"5,528"
David Warner,SRH,Batsman,150,"5,449"
Lasith Malinga,MI,Bowler,122,170
Dwayne Bravo,CSK,Bowler,151,167
Amit Mishra,DC,Bowler,154,166
Piyush Chawla,KKR,Bowler,165,157
Harbhajan Singh,CSK,Bowler,163,150
Ravichandran Ashwin,DC,Bowler,167,145
Sunil Naraine,KKR,Bowler,134,143
Bhuvneshwar Kumar,SRH,Bowler,132,142
Yuzvendra Chahal,RCB,Bowler,114,139
Jasprit Bumrah,MI,Bowler,106,130
Ms dhoni,CSK,Batsman,200,"4,432"
Chris gayle,PB,Batsman,126,4519
Josh butler,RR,Batsman,58,1714
